time(ms),enconder(steps),inputSignal(8bits)
100,0,1
200,0,2
300,0,3
400,0,4
500,0,5
600,0,6
700,0,7
800,0,8
900,0,9
1000,0,10
1100,-3,11
1200,-3,12
1300,-3,13
1400,-3,14
1500,-3,15
1600,-3,16
1700,-3,17
1800,-3,18
1900,-3,19
2000,-3,20
2100,-3,21
2200,-3,22
2300,-3,23
2400,-3,24
2500,-3,25
2600,-3,26
2700,-3,27
2800,-3,28
2900,-3,29
3000,-3,30
3100,-3,31
3200,-3,32
3300,-3,33
3400,-3,34
3500,-3,35
3600,-3,36
3700,-3,37
3800,-3,38
3900,-3,39
4000,-3,40
4100,-3,41
4200,-3,42
4300,-3,43
4400,-3,44
4500,-3,45
4600,-3,46
4700,-3,47
4800,-3,48
4900,-3,49
5000,-3,50
5100,-3,51
5200,-3,52
5300,-3,53
5400,-3,54
5500,-3,55
5600,-3,56
5700,-3,57
5800,-3,58
5900,-3,59
6000,-3,60
6100,-3,61
6200,-3,62
6300,-3,63
6400,-3,64
6500,-3,65
6600,-3,66
6700,-3,67
6800,-3,68
6900,-3,69
7000,-3,70
7100,-3,71
7200,-3,72
7300,-3,73
7400,-3,74
7500,-3,75
7600,-3,76
7700,-3,77
7800,-3,78
7900,-3,79
8000,-3,80
8100,-3,81
8200,-3,82
8300,-3,83
8400,-3,84
8500,-3,85
8600,-3,86
8700,-3,87
8800,-3,88
8900,-3,89
9000,-3,90
9100,-3,91
9200,-3,92
9300,-3,93
9400,-3,94
9500,-3,95
9600,-3,96
9700,-3,97
9800,-3,98
9900,-3,99
10000,-3,100
10100,-3,101
10200,-3,102
10300,-3,103
10400,-3,104
10500,-3,105
10600,-3,106
10700,-3,107
10800,-3,108
10900,-3,109
11000,-3,110
11100,-3,111
11200,-3,112
11300,-3,113
11400,-3,114
11500,-3,115
11600,-3,116
11700,-3,117
11800,-3,118
11900,-3,119
12000,-3,120
12100,-3,121
12200,-3,122
12300,-3,123
12400,-3,124
12500,-3,125
12600,-3,126
12700,-3,127
12800,-3,128
12900,-3,129
13000,-3,130
