time(ms),enconder(steps),inputSignal(8bits)
80,0,1
160,0,2
240,0,3
320,0,4
400,0,5
480,0,6
560,0,7
640,0,8
720,0,9
800,0,10
880,0,11
960,0,12
1040,0,13
1120,0,14
1200,0,15
1280,0,16
1360,0,17
1440,0,18
1520,0,19
1600,0,20
1680,0,21
1760,0,22
1840,0,23
1920,0,24
2000,0,25
2080,0,26
2160,0,27
2240,0,28
2320,0,29
2400,0,30
2480,0,31
2560,0,32
2640,0,33
2720,0,34
2800,0,35
2880,0,36
2960,0,37
3040,0,38
3120,0,39
3200,0,40
3280,0,41
3360,0,42
3440,0,43
3520,0,44
3600,0,45
3680,0,46
3760,0,47
3840,0,48
3920,0,49
4000,0,50
4080,0,51
4160,0,52
4240,0,53
4320,0,54
4400,0,55
4480,0,56
4560,0,57
4640,0,58
4720,0,59
4800,0,60
4880,0,61
4960,0,62
5040,0,63
5120,0,64
5200,0,65
5280,0,66
5360,0,67
5440,0,68
5520,0,69
5600,0,70
5680,0,71
5760,0,72
5840,0,73
5920,0,74
6000,0,75
6080,0,76
6160,0,77
6240,0,78
6320,0,79
6400,0,80
6480,0,81
6560,0,82
6640,0,83
6720,0,84
6800,0,85
6880,0,86
6960,0,87
7040,0,88
7120,0,89
7200,0,90
7280,0,91
7360,0,92
7440,0,93
7520,0,94
7600,0,95
7680,0,96
7760,0,97
7840,0,98
7920,0,99
8000,0,100
8080,0,101
8160,0,102
8240,0,103
8320,0,104
8400,0,105
8480,0,106
8560,0,107
8640,0,108
8720,0,109
8800,0,110
8880,0,111
8960,0,112
9040,0,113
9120,0,114
9200,0,115
9280,0,116
9360,0,117
9440,0,118
9520,0,119
9600,0,120
9680,0,121
9760,0,122
9840,0,123
9920,0,124
10000,0,125
10080,0,126
10160,0,127
10240,0,128
10320,0,129
10400,0,130
10480,0,131
10560,0,132
10640,0,133
10720,0,134
10800,0,135
10880,0,136
10960,0,137
11040,0,138
11120,0,139
11200,0,140
11280,0,141
11360,0,142
11440,0,143
11520,0,144
11600,0,145
11680,0,146
11760,0,147
11840,0,148
11920,0,149
12000,0,150
12080,0,151
12160,0,152
12240,0,153
12320,0,154
12400,0,155
12480,0,156
12560,0,157
12640,0,158
12720,0,159
12800,0,160
12880,0,161
12960,0,162
13040,0,163
13120,0,164
13200,0,165
13280,0,166
13360,0,167
13440,0,168
13520,0,169
13600,0,170
13680,0,171
13760,0,172
13840,0,173
13920,0,174
14000,0,175
14080,0,176
14160,0,177
14240,0,178
14320,0,179
14400,0,180
14480,0,181
14560,0,182
14640,0,183
14720,0,184
14800,0,185
14880,0,186
14960,0,187
15040,0,188
15120,0,189
15200,0,190
15280,0,191
15360,0,192
15440,0,193
15520,0,194
15600,0,195
15680,0,196
15760,0,197
15840,0,198
15920,0,199
16000,0,200
16080,0,201
16160,0,202
16240,0,203
16320,0,204
16400,0,205
16480,0,206
16560,35,207
16640,35,208
16720,35,209
16800,35,210
16880,35,211
16960,35,212
17040,35,213
17120,35,214
17200,35,215
17280,35,216
17360,35,217
17440,35,218
17520,35,219
17600,35,220
17680,35,221
17760,35,222
17840,35,223
17920,35,224
18000,35,225
18080,35,226
18160,35,227
18240,35,228
18320,35,229
18400,35,230
18480,35,231
18560,35,232
18640,35,233
18720,35,234
18800,35,235
18880,35,236
18960,35,237
19040,35,238
19120,35,239
19200,35,240
19280,35,241
19360,35,242
19440,35,243
19520,35,244
19600,35,245
19680,-2,246
19760,-31,247
19840,-64,248
19920,-100,249
20000,-137,250
20080,-175,251
20160,-214,252
20240,-254,253
20320,-294,254
20400,-336,255
20480,-379,254
20560,-422,253
20640,-464,252
20720,-507,251
20800,-548,250
20880,-590,249
20960,-631,248
21040,-671,247
21120,-711,246
21200,-751,245
21280,-789,244
21360,-827,243
21440,-864,242
21520,-901,241
21600,-938,240
21680,-975,239
21760,-1011,238
21840,-1047,237
21920,-1082,236
22000,-1117,235
22080,-1152,234
22160,-1187,233
22240,-1221,232
22320,-1254,231
22400,-1288,230
22480,-1321,229
22560,-1354,228
22640,-1386,227
22720,-1418,226
22800,-1449,225
22880,-1479,224
22960,-1509,223
23040,-1539,222
23120,-1569,221
23200,-1598,220
23280,-1627,219
23360,-1655,218
23440,-1684,217
23520,-1712,216
23600,-1739,215
23680,-1766,214
23760,-1793,213
23840,-1820,212
23920,-1846,211
24000,-1871,210
24080,-1895,209
24160,-1921,208
24240,-1946,207
24320,-1970,206
24400,-1994,205
24480,-2017,204
24560,-2041,203
24640,-2064,202
24720,-2086,201
24800,-2109,200
24880,-2131,199
24960,-2152,198
25040,-2174,197
25120,-2195,196
25200,-2216,195
25280,-2237,194
25360,-2258,193
25440,-2278,192
25520,-2299,191
25600,-2320,190
25680,-2339,189
25760,-2359,188
25840,-2379,187
25920,-2397,186
26000,-2416,185
26080,-2433,184
26160,-2452,183
26240,-2469,182
26320,-2487,181
26400,-2503,180
26480,-2520,179
26560,-2537,178
26640,-2553,177
26720,-2568,176
26800,-2584,175
26880,-2599,174
26960,-2615,173
27040,-2628,172
27120,-2643,171
27200,-2657,170
27280,-2671,169
27360,-2683,168
27440,-2695,167
27520,-2708,166
27600,-2720,165
27680,-2732,164
27760,-2743,163
27840,-2752,162
27920,-2762,161
28000,-2768,160
28080,-2768,159
28160,-2777,158
28240,-2784,157
28320,-2784,156
28400,-2784,155
28480,-2784,154
28560,-2784,153
28640,-2784,152
28720,-2784,151
28800,-2764,150
28880,-2764,149
28960,-2764,148
29040,-2764,147
29120,-2766,146
29200,-2773,145
29280,-2776,144
29360,-2776,143
29440,-2777,142
29520,-2777,141
29600,-2777,140
29680,-2777,139
29760,-2779,138
29840,-2779,137
29920,-2779,136
30000,-2779,135
30080,-2779,134
30160,-2779,133
30240,-2779,132
30320,-2779,131
30400,-2779,130
30480,-2779,129
30560,-2779,128
30640,-2779,127
30720,-2779,126
30800,-2779,125
30880,-2779,124
30960,-2779,123
31040,-2779,122
31120,-2779,121
31200,-2779,120
31280,-2779,119
31360,-2779,118
31440,-2779,117
31520,-2779,116
31600,-2779,115
31680,-2779,114
31760,-2779,113
31840,-2779,112
31920,-2779,111
32000,-2779,110
32080,-2779,109
32160,-2779,108
32240,-2779,107
32320,-2779,106
32400,-2779,105
32480,-2779,104
32560,-2779,103
32640,-2779,102
32720,-2779,101
32800,-2779,100
32880,-2779,99
32960,-2779,98
33040,-2779,97
33120,-2779,96
33200,-2779,95
33280,-2779,94
33360,-2779,93
33440,-2779,92
33520,-2779,91
33600,-2779,90
33680,-2779,89
33760,-2779,88
33840,-2779,87
33920,-2779,86
34000,-2779,85
34080,-2779,84
34160,-2779,83
34240,-2779,82
34320,-2779,81
34400,-2779,80
34480,-2779,79
34560,-2779,78
34640,-2779,77
34720,-2779,76
34800,-2779,75
34880,-2779,74
34960,-2779,73
35040,-2779,72
35120,-2779,71
35200,-2779,70
35280,-2779,69
35360,-2779,68
35440,-2779,67
35520,-2779,66
35600,-2779,65
35680,-2779,64
35760,-2779,63
35840,-2779,62
35920,-2779,61
36000,-2779,60
36080,-2779,59
36160,-2779,58
36240,-2779,57
36320,-2779,56
36400,-2779,55
36480,-2779,54
36560,-2779,53
36640,-2779,52
36720,-2779,51
36800,-2779,50
36880,-2779,49
36960,-2779,48
37040,-2779,47
37120,-2779,46
37200,-2779,45
37280,-2779,44
37360,-2779,43
37440,-2779,42
37520,-2779,41
37600,-2779,40
37680,-2779,39
37760,-2779,38
37840,-2779,37
37920,-2779,36
38000,-2779,35
38080,-2779,34
38160,-2779,33
38240,-2779,32
38320,-2779,31
38400,-2779,30
38480,-2779,29
38560,-2779,28
38640,-2779,27
38720,-2779,26
38800,-2779,25
38880,-2779,24
38960,-2779,23
39040,-2779,22
39120,-2779,21
39200,-2779,20
39280,-2779,19
39360,-2779,18
39440,-2779,17
39520,-2779,16
39600,-2779,15
39680,-2779,14
39760,-2779,13
39840,-2779,12
39920,-2779,11
