time(ms),enconder(steps),inputSignal(8bits)
100,0,669
200,45,669
300,109,669
400,174,669
500,238,669
600,296,669
700,349,669
800,398,670
900,442,669
1000,481,670
1100,516,670
1200,546,670
1300,572,670
1400,596,670
1500,614,671
1600,632,670
1700,645,670
1800,657,670
1900,657,670
2000,657,670
2100,657,670
2200,657,670
2300,657,670
2400,657,670
2500,657,670
2600,657,671
2700,657,649
2800,657,74
2900,619,7
3000,564,7
3100,506,8
3200,446,7
3300,390,7
3400,338,7
3500,291,7
3600,247,549
3700,259,769
3800,311,840
3900,374,878
4000,439,904
4100,499,921
4200,554,921
4300,605,921
4400,653,921
4500,698,907
4600,737,885
4700,769,857
4800,795,821
4900,811,810
5000,811,810
5100,811,809
5200,811,808
5300,811,820
5400,811,860
5500,821,902
5600,835,924
5700,856,940
5800,877,948
5900,896,954
6000,916,955
6100,931,955
6200,947,953
6300,948,945
6400,948,932
6500,948,915
6600,947,901
6700,947,892
6800,947,890
6900,947,888
7000,947,889
7100,947,890
7200,947,892
7300,947,912
7400,947,934
7500,947,952
7600,947,958
7700,947,957
7800,947,945
7900,947,928
8000,947,926
8100,947,940
8200,947,951
8300,947,956
8400,947,954
8500,947,942
8600,947,936
8700,947,944
8800,947,953
8900,947,959
9000,947,953
9100,947,941
9200,947,938
9300,947,949
9400,947,957
9500,947,962
9600,947,964
9700,947,964
9800,947,959
9900,947,950
10000,947,938
10100,947,923
10200,947,906
10300,947,887
10400,947,868
10500,947,846
10600,947,820
10700,947,795
10800,947,780
10900,947,770
11000,925,750
11100,899,705
11200,870,631
11300,835,544
11400,794,501
11500,751,437
11600,705,433
11700,662,415
11800,621,415
11900,583,415
12000,549,415
12100,520,415
12200,494,436
12300,474,461
12400,472,645
12500,473,776
12600,473,835
12700,473,872
12800,473,897
12900,474,918
13000,507,935
13100,560,943
13200,613,952
13300,664,959
13400,711,962
13500,757,968
13600,798,970
13700,835,972
13800,868,974
13900,896,976
14000,921,979
14100,943,979
14200,960,978
14300,961,977
14400,961,978
14500,961,976
14600,961,978
14700,961,979
14800,961,980
14900,961,979
15000,961,981
15100,964,981
15200,963,977
15300,963,982
15400,963,977
15500,963,972
15600,963,969
15700,963,966
15800,963,963
15900,963,958
16000,963,952
16100,963,944
16200,962,933
16300,962,917
16400,962,897
16500,962,884
16600,962,882
16700,962,862
16800,953,851
16900,937,851
17000,917,851
17100,899,850
17200,883,851
17300,868,850
17400,857,849
17500,856,850
17600,856,850
17700,856,849
17800,856,848
17900,856,845
18000,856,812
18100,856,738
18200,856,592
18300,855,279
18400,819,7
18500,754,7
18600,687,7
18700,621,7
18800,553,7
18900,487,6
19000,423,25
19100,366,518
19200,379,684
19300,415,764
19400,463,794
19500,512,801
19600,559,799
19700,602,790
19800,639,734
19900,669,630
20000,663,494
20100,645,73
20200,593,7
20300,527,7
20400,460,7
20500,398,7
20600,341,8
20700,289,146
20800,249,570
20900,273,660
21000,319,740
21100,374,784
21200,430,813
21300,485,824
21400,537,819
21500,584,789
21600,625,730
21700,657,617
21800,658,130
21900,617,7
22000,552,8
22100,486,7
22200,422,7
22300,362,7
22400,307,8
22500,257,534
22600,266,701
22700,312,775
22800,368,829
22900,426,867
23000,484,892
23100,541,905
23200,594,912
23300,644,900
23400,690,878
23500,731,837
23600,763,783
23700,785,683
23800,771,497
23900,742,130
24000,688,7
24100,623,7
24200,557,8
24300,490,7
24400,426,7
24500,365,7
24600,309,25
24700,260,501
24800,279,709
24900,324,806
25000,382,855
25100,442,887
25200,502,919
25300,560,927
25400,613,930
25500,664,933
25600,711,934
25700,754,925
25800,793,915
25900,825,889
26000,849,847
26100,852,797
26200,851,695
26300,851,383
26400,816,8
26500,754,7
26600,686,7
26700,618,8
26800,550,7
26900,482,24
27000,419,704
27100,435,834
27200,482,892
27300,536,916
27400,589,934
27500,642,943
27600,693,948
27700,739,949
27800,780,954
27900,817,956
28000,848,959
28100,875,959
28200,898,957
28300,919,957
28400,935,958
28500,950,964
28600,950,967
28700,950,970
28800,955,972
28900,955,972
29000,955,970
29100,955,966
29200,955,959
29300,955,944
29400,955,936
29500,949,925
29600,947,920
29700,946,916
29800,941,929
29900,940,949
30000,940,955
30100,940,938
30200,940,932
30300,940,952
30400,940,958
30500,940,937
30600,940,944
30700,940,954
30800,940,952
30900,940,943
31000,940,947
31100,940,956
31200,940,955
31300,940,962
31400,949,942
31500,949,940
31600,949,949
31700,949,958
31800,949,939
31900,949,942
32000,949,953
32100,949,952
32200,949,951
32300,949,953
32400,949,940
32500,949,920
32600,940,887
32700,925,869
32800,915,862
32900,898,853
33000,886,848
33100,871,845
33200,860,854
33300,860,859
33400,860,856
33500,860,859
33600,860,827
33700,850,732
33800,829,526
33900,792,240
34000,731,24
34100,663,8
34200,594,7
34300,526,238
34400,471,661
34500,483,788
34600,518,834
34700,560,859
34800,605,880
34900,648,899
35000,691,911
35100,731,918
35200,769,917
35300,802,911
35400,830,896
35500,852,874
35600,868,853
35700,868,825
35800,867,782
35900,867,703
36000,867,461
36100,835,7
36200,776,7
36300,709,7
36400,642,7
36500,573,7
36600,506,8
36700,438,630
36800,448,793
36900,488,847
37000,535,883
37100,584,895
37200,632,900
37300,677,904
37400,719,900
37500,757,889
37600,788,856
37700,812,800
37800,815,692
37900,803,450
38000,769,8
38100,710,7
38200,642,8
38300,573,8
38400,506,7
38500,438,44
38600,378,664
38700,389,798
38800,436,852
38900,491,881
39000,546,899
39100,600,908
39200,651,911
39300,698,904
39400,738,891
39500,774,844
39600,800,778
39700,798,626
39800,785,375
39900,742,6
40000,681,7
40100,611,7
40200,543,7
40300,474,365
40400,426,744
40500,453,850
40600,502,884
40700,555,908
40800,606,922
40900,656,916
41000,703,926
41100,745,921
41200,782,908
41300,815,881
41400,840,823
41500,833,643
41600,815,8
41700,758,8
41800,691,7
41900,622,7
42000,553,7
42100,485,7
42200,421,7
42300,360,632
42400,380,847
42500,430,902
42600,489,918
42700,548,924
42800,603,933
42900,655,940
43000,704,946
43100,749,952
43200,791,956
43300,828,959
43400,861,961
43500,889,961
43600,913,961
43700,934,964
43800,951,961
43900,952,961
44000,952,960
44100,952,954
44200,952,941
44300,952,915
44400,948,862
44500,930,787
44600,910,707
44700,879,630
44800,841,588
44900,799,450
45000,751,8
45100,688,7
45200,618,7
45300,548,7
45400,479,7
45500,414,7
45600,354,7
45700,299,7
45800,249,449
45900,256,764
46000,309,855
46100,376,899
46200,445,924
46300,510,943
46400,571,953
46500,628,956
46600,681,957
46700,730,951
46800,773,932
46900,810,904
47000,839,868
47100,861,831
47200,850,775
47300,834,697
47400,814,574
47500,780,457
47600,736,375
47700,685,364
47800,633,365
47900,584,424
48000,544,616
48100,554,761
48200,582,837
48300,619,893
48400,663,924
48500,707,939
48600,749,949
48700,790,942
48800,826,946
48900,857,922
49000,883,883
49100,886,804
49200,885,656
49300,885,59
49400,840,7
49500,775,7
49600,706,7
49700,636,7
49800,568,7
49900,499,7
50000,431,8
50100,369,7
50200,312,500
50300,329,766
50400,376,859
50500,437,910
50600,500,936
50700,560,945
50800,618,949
50900,673,950
51000,722,947
51100,766,930
51200,803,894
51300,833,829
51400,836,714
51500,823,20
51600,770,7
51700,701,7
51800,631,7
51900,561,7
52000,491,7
52100,424,7
52200,362,529
52300,374,751
52400,415,845
52500,470,893
52600,529,921
52700,584,939
52800,638,945
52900,686,950
53000,728,948
53100,768,947
53200,804,948
53300,837,931
53400,864,905
53500,885,845
53600,886,736
53700,886,424
53800,850,8
53900,788,7
54000,721,7
54100,652,7
54200,583,7
54300,515,8
54400,447,8
54500,383,8
54600,325,8
54700,273,7
54800,225,467
54900,246,748
55000,300,847
55100,366,899
55200,435,929
55300,501,938
55400,564,944
55500,620,945
55600,673,933
55700,722,910
55800,766,848
55900,798,730
56000,785,350
56100,741,7
56200,678,7
56300,607,7
56400,537,7
56500,468,8
56600,402,8
56700,342,7
56800,287,99
56900,242,741
57000,283,858
57100,348,901
57200,416,921
57300,486,932
57400,550,933
57500,606,928
57600,658,912
57700,706,878
57800,745,797
57900,772,644
58000,757,115
58100,704,8
58200,636,7
58300,566,7
58400,496,8
58500,429,8
58600,365,8
58700,307,7
58800,254,534
58900,274,787
59000,330,867
59100,398,905
59200,467,930
59300,532,941
59400,590,946
59500,646,945
59600,699,945
59700,744,942
59800,786,923
59900,822,881
60000,848,803
