time(ms),enconder(steps),inputSignal(8bits),controlSignal
100,0,956
255,200,47,957
255,300,113,957
255,400,181,957
255,500,249,956
255,600,316,956
255,700,383,957
255,800,449,957
255,900,515,957
255,1000,582,958
255,1100,649,959
255,1200,715,959
252,1300,778,959
220,1400,835,960
192,1500,880,959
169,1600,916,960
152,1700,942,960
139,1800,961,960
0,1900,962,961
0,2000,962,962
0,2100,962,960
0,2200,962,961
0,2300,962,961
0,2400,962,961
0,2500,962,959
0,2600,962,956
0,2700,962,951
136,2800,958,947
136,2900,958,943
138,3000,958,937
141,3100,958,930
144,3200,958,920
149,3300,958,910
154,3400,958,900
159,3500,952,888
162,3600,932,877
158,3700,919,872
154,3800,900,867
147,3900,892,849
152,4000,874,843
146,4100,862,841
141,4200,851,849
0,4300,849,865
138,4400,863,885
141,4500,870,905
147,4600,882,922
150,4700,901,937
148,4800,923,947
142,4900,940,953
136,5000,956,960
0,5100,958,964
0,5200,958,966
0,5300,958,967
0,5400,958,966
0,5500,958,966
0,5600,958,966
0,5700,958,967
0,5800,958,970
136,5900,958,972
137,6000,959,975
138,6100,959,975
138,6200,959,976
138,6300,959,974
137,6400,959,975
138,6500,959,975
138,6600,959,974
137,6700,959,975
138,6800,959,974
137,6900,959,973
137,7000,959,969
135,7100,959,963
0,7200,959,959
0,7300,959,954
0,7400,959,947
136,7500,958,938
140,7600,958,931
144,7700,958,914
152,7800,958,894
162,7900,958,879
170,8000,958,867
176,8100,958,858
180,8200,958,857
181,8300,955,857
179,8400,928,857
166,8500,903,854
155,8600,881,838
152,8700,861,794
164,8800,837,674
212,8900,800,448
255,9000,742,8
255,9100,677,7
255,9200,610,7
255,9300,544,6
255,9400,478,8
255,9500,411,7
255,9600,345,7
255,9700,278,7
255,9800,211,7
232,9900,152,7
203,10000,101,8
177,10100,61,8
157,10200,32,7
143,10300,12,7
0,10400,11,7
0,10500,11,25
137,10600,16,556
255,10700,59,723
255,10800,122,783
255,10900,188,833
255,11000,256,854
255,11100,324,853
255,11200,393,854
255,11300,460,854
255,11400,528,854
255,11500,597,852
255,11600,666,829
211,11700,724,770
153,11800,763,687
168,11900,745,621
192,12000,717,494
242,12100,669,330
255,12200,607,74
255,12300,541,27
255,12400,474,21
255,12500,407,21
255,12600,341,19
255,12700,273,18
255,12800,205,20
223,12900,145,92
157,13000,103,593
255,13100,145,705
255,13200,211,760
255,13300,280,802
255,13400,349,831
255,13500,418,858
255,13600,487,874
255,13700,555,881
255,13800,624,884
255,13900,693,885
226,14000,753,881
194,14100,803,852
154,14200,837,766
166,14300,821,736
173,14400,794,822
144,14500,804,862
159,14600,825,827
0,14700,828,771
159,14800,827,836
0,14900,827,846
139,15000,828,782
153,15100,827,821
0,15200,827,851
142,15300,828,775
157,15400,827,801
143,15500,827,857
145,15600,828,823
0,15700,828,801
144,15800,827,849
141,15900,828,825
0,16000,828,790
149,16100,827,820
0,16200,827,848
140,16300,828,830
0,16400,828,790
149,16500,827,814
137,16600,827,835
0,16700,827,823
0,16800,827,789
149,16900,827,819
0,17000,827,863
148,17100,828,858
145,17200,828,853
142,17300,828,852
142,17400,828,852
142,17500,828,856
144,17600,828,852
142,17700,828,851
141,17800,828,847
139,17900,828,837
0,18000,828,827
0,18100,828,823
0,18200,828,819
135,18300,827,812
138,18400,827,799
144,18500,827,785
151,18600,827,764
162,18700,827,741
173,18800,827,712
188,18900,806,676
195,19000,769,632
199,19100,725,633
176,19200,683,589
177,19300,647,501
203,19400,604,374
245,19500,549,28
255,19600,482,7
255,19700,411,7
255,19800,343,8
255,19900,273,8
255,20000,202,7
228,20100,141,7
197,20200,90,7
172,20300,49,7
151,20400,20,7
137,20500,1,7
0,20600,1,8
0,20700,1,7
0,20800,1,7
0,20900,1,7
0,21000,1,8
0,21100,1,26
142,21200,2,42
150,21300,2,329
255,21400,41,442
255,21500,103,524
255,21600,167,591
255,21700,232,630
255,21800,299,683
255,21900,365,720
255,22000,432,743
255,22100,499,761
255,22200,566,777
235,22300,626,790
212,22400,679,801
191,22500,723,817
177,22600,762,826
162,22700,795,833
149,22800,819,843
142,22900,840,850
135,23000,856,856
0,23100,857,865
0,23200,857,873
138,23300,865,881
138,23400,878,889
135,23500,893,897
0,23600,894,902
0,23700,894,905
135,23800,898,906
0,23900,899,905
0,24000,899,911
136,24100,899,923
142,24200,899,929
145,24300,899,937
149,24400,899,942
151,24500,899,945
153,24600,899,950
155,24700,900,952
156,24800,900,952
156,24900,900,955
157,25000,915,956
150,25100,938,955
138,25200,959,957
0,25300,960,964
0,25400,960,958
0,25500,960,958
0,25600,960,957
0,25700,960,962
0,25800,960,965
0,25900,960,966
0,26000,960,969
0,26100,960,971
135,26200,963,972
0,26300,963,973
135,26400,963,974
135,26500,964,973
0,26600,964,974
135,26700,964,974
135,26800,964,974
135,26900,964,975
135,27000,964,975
135,27100,973,975
0,27200,973,975
0,27300,973,975
0,27400,973,977
0,27500,973,975
0,27600,973,974
0,27700,973,977
0,27800,973,977
0,27900,973,976
0,28000,973,976
0,28100,973,979
0,28200,973,976
0,28300,973,974
0,28400,973,973
0,28500,973,972
0,28600,973,970
0,28700,973,969
0,28800,973,968
0,28900,973,966
0,29000,973,966
0,29100,973,965
0,29200,973,963
135,29300,972,962
135,29400,972,960
136,29500,972,959
137,29600,972,958
137,29700,972,957
138,29800,972,955
139,29900,972,953
140,30000,967,952
138,30100,966,950
138,30200,966,947
140,30300,966,945
141,30400,963,943
140,30500,956,939
139,30600,956,937
140,30700,956,934
141,30800,955,929
143,30900,943,925
139,31000,934,916
139,31100,934,909
143,31200,926,904
141,31300,910,894
138,31400,897,875
141,31500,886,862
142,31600,870,847
142,31700,860,841
140,31800,845,842
0,31900,844,841
0,32000,844,842
0,32100,845,841
0,32200,845,815
145,32300,845,749
178,32400,845,629
238,32500,812,434
255,32600,753,8
255,32700,687,7
255,32800,620,6
255,32900,554,7
255,33000,486,7
255,33100,418,7
255,33200,353,7
255,33300,288,8
255,33400,222,8
237,33500,163,7
208,33600,113,30
172,33700,73,446
255,33800,111,591
255,33900,173,671
255,34000,238,718
255,34100,305,748
255,34200,374,774
255,34300,442,781
255,34400,510,780
255,34500,579,780
230,34600,640,759
189,34700,689,707
139,34800,719,629
175,34900,703,453
255,35000,652,69
255,35100,585,27
255,35200,517,7
255,35300,448,6
255,35400,380,7
255,35500,313,7
255,35600,247,7
250,35700,185,26
210,35800,133,363
245,35900,160,557
255,36000,218,629
255,36100,282,681
255,36200,349,732
255,36300,417,762
255,36400,485,783
255,36500,553,797
252,36600,620,815
227,36700,678,828
205,36800,730,834
182,36900,776,836
160,37000,810,833
141,37100,834,826
0,37200,834,814
140,37300,834,804
145,37400,834,793
151,37500,834,781
157,37600,834,764
165,37700,834,743
176,37800,834,718
188,37900,833,685
204,38000,823,655
214,38100,782,632
205,38200,737,598
200,38300,693,583
185,38400,652,567
173,38500,617,566
156,38600,590,564
143,38700,572,556
138,38800,556,546
135,38900,550,520
145,39000,544,479
163,39100,524,443
171,39200,497,405
176,39300,466,352
187,39400,429,232
229,39500,382,61
255,39600,321,26
255,39700,255,25
245,39800,193,25
214,39900,140,8
196,40000,94,7
174,40100,57,8
155,40200,28,8
140,40300,8,7
0,40400,8,28
140,40500,8,37
144,40600,8,100
176,40700,8,277
255,40800,35,382
255,40900,96,426
255,41000,161,474
255,41100,227,502
255,41200,295,525
245,41300,358,586
244,41400,417,600
221,41500,471,633
211,41600,522,633
185,41700,567,648
170,41800,604,679
167,41900,636,691
157,42000,664,709
152,42100,688,717
144,42200,709,724
137,42300,722,736
137,42400,738,741
0,42500,738,752
137,42600,738,765
143,42700,738,774
148,42800,738,769
145,42900,738,763
142,43000,738,740
0,43100,738,713
143,43200,737,677
160,43300,736,632
182,43400,736,623
187,43500,718,592
193,43600,682,577
183,43700,645,526
190,43800,605,491
187,43900,565,435
195,44000,523,286
249,44100,468,78
255,44200,401,27
255,44300,333,24
255,44400,264,25
250,44500,199,7
226,44600,140,7
197,44700,90,7
172,44800,51,7
152,44900,22,8
137,45000,1,7
0,45100,0,7
