time(ms),enconder(steps),inputSignal(8bits),controlSignal
100,0,810,255
200,17,810,255
300,76,809,255
400,140,811,255
500,205,811,255
600,269,810,255
700,335,810,248
800,395,811,234
900,450,810,220
1000,502,811,207
1100,550,811,195
1200,592,811,184
1300,630,812,175
1400,664,811,166
1500,693,811,159
1600,718,812,153
1700,740,812,148
1800,761,811,142
1900,770,812,140
2000,783,811,137
2100,797,811,0
2200,798,811,0
2300,798,812,0
2400,798,811,0
2500,798,811,0
2600,798,812,0
2700,798,811,0
2800,798,812,0
2900,798,812,0
3000,798,812,0
3100,798,805,0
3200,798,786,0
3300,798,760,140
3400,793,724,148
3500,792,681,158
3600,780,630,168
3700,763,603,170
3800,743,563,175
3900,721,542,175
4000,694,527,172
4100,667,497,173
4200,638,374,196
4300,605,272,214
4400,565,39,255
4500,505,26,250
4600,444,7,240
4700,388,7,226
4800,335,7,212
4900,285,7,200
5000,242,7,189
5100,201,7,179
5200,165,7,170
5300,134,7,162
5400,108,7,156
5500,85,8,150
5600,62,6,144
5700,46,6,140
5800,30,7,136
5900,20,6,0
6000,20,7,0
6100,20,7,0
6200,20,7,0
6300,20,23,0
6400,20,360,215
6500,41,523,250
6600,91,632,255
6700,151,665,255
6800,214,687,248
6900,274,715,240
7000,331,731,230
7100,386,740,218
7200,437,751,208
7300,485,760,198
7400,529,772,190
7500,571,786,183
7600,610,802,178
7700,646,821,173
7800,680,833,168
7900,711,839,162
8000,739,846,156
8100,765,856,152
8200,785,861,149
8300,806,870,146
8400,827,877,142
8500,840,882,140
8600,858,888,137
8700,865,893,137
8800,866,897,137
8900,874,902,137
9000,889,903,0
9100,891,903,0
9200,891,903,0
9300,891,903,0
9400,891,902,0
9500,891,901,0
9600,891,897,0
9700,891,893,0
9800,891,887,0
9900,891,881,0
10000,891,875,0
10100,891,871,135
10200,890,865,137
10300,890,857,139
10400,890,849,141
10500,889,841,142
10600,881,831,143
10700,868,818,143
10800,863,804,145
10900,863,787,149
11000,860,762,155
11100,842,733,158
11200,823,700,161
11300,796,657,165
11400,770,619,168
11500,742,520,186
11600,708,396,208
11700,665,46,255
11800,604,30,255
11900,536,7,255
12000,468,7,246
12100,405,7,230
12200,347,7,215
12300,295,7,202
12400,247,7,190
12500,203,7,179
12600,165,7,170
12700,132,7,162
12800,104,7,155
12900,78,6,148
13000,57,7,143
13100,36,8,137
13200,25,7,135
13300,10,6,0
13400,9,6,0
13500,9,7,0
13600,9,7,0
13700,9,7,0
13800,9,6,0
13900,9,7,0
14000,9,7,0
14100,9,7,0
14200,9,7,0
14300,9,8,0
14400,9,7,0
14500,9,27,0
14600,9,23,0
14700,9,35,136
14800,11,225,183
14900,11,272,195
15000,11,276,196
15100,11,365,218
15200,11,369,219
15300,11,369,219
15400,11,366,218
